Nodes
0	0	1	0	660
1	0	1	120	600
2	0	1	120	600
3	0	1	120	600
4	0	1	120	600
5	0	1	120	600
6	0	1	120	600
7	0	1	120	600
8	0	1	120	600
9	0	1	120	600
10	0	1	120	660
17024	9	0	120	300
19078	4	0	360	540
19335	6	0	360	540
18955	13	0	360	540
19086	5	0	360	540
18067	9	0	360	540
17941	6	0	120	300
17557	9	0	120	300
18072	8	0	360	540
18337	6	0	360	540
17059	12	0	120	300
17061	10	0	120	300
18087	14	0	360	540
17832	9	0	120	300
18344	12	0	360	540
19115	9	0	360	540
19501	9	0	120	300
16685	13	0	120	300
17071	18	0	120	300
15537	12	0	120	300
16689	7	0	120	300
17841	18	0	120	300
17972	8	0	360	540
19125	9	0	360	540
19130	8	0	360	540
18619	9	0	360	540
18235	4	0	360	540
17853	11	0	120	300
17985	12	0	360	540
19010	9	0	360	540
19012	13	0	360	540
17220	10	0	120	300
17349	3	0	120	300
19143	10	0	360	540
18504	13	0	360	540
18505	11	0	360	540
17352	13	0	120	300
19023	15	0	360	540
18512	12	0	360	540
17363	13	0	120	300
17112	4	0	120	300
19422	8	0	360	540
18403	12	0	360	540
19428	11	0	360	540
17509	3	0	120	300
17772	15	0	120	300
19053	9	0	360	540
17007	6	0	120	300
17522	12	0	120	300
18421	9	0	360	540
18425	11	0	360	540
18938	10	0	360	540
Arcs
0	17024	6130	149
1	17024	6130	149
17024	1	6963	149
2	17024	6130	149
17024	2	6963	149
3	17024	6130	149
17024	3	6963	149
4	17024	6130	149
17024	4	6963	149
5	17024	6130	149
17024	5	6963	149
6	17024	6130	149
17024	6	6963	149
7	17024	6130	149
17024	7	6963	149
8	17024	6130	149
17024	8	6963	149
9	17024	6130	149
17024	9	6963	149
17024	10	6963	149
19078	17024	8289	195
17024	19078	7258	195
19335	17024	6311	153
17024	19335	6438	153
18955	17024	7806	185
17024	18955	4620	185
19086	17024	8154	192
17024	19086	7075	192
18067	17024	7642	181
17024	18067	8017	181
17941	17024	2429	69
17024	17941	679	69
17557	17024	5058	126
17024	17557	3013	126
18072	17024	8725	204
17024	18072	8905	204
18337	17024	11303	260
17024	18337	10615	260
17059	17024	456	27
17024	17059	-2275	27
17061	17024	994	39
17024	17061	-233	39
18087	17024	6674	160
17024	18087	3503	160
17832	17024	3511	93
17024	17832	983	93
18344	17024	8373	197
17024	18344	7785	197
19115	17024	9171	214
17024	19115	7896	214
19501	17024	4723	119
17024	19501	2307	119
16685	17024	3083	83
17024	16685	1848	83
17071	17024	384	26
17024	17071	-1677	26
15537	17024	3991	103
17024	15537	3682	103
16689	17024	2748	76
17024	16689	1419	76
17841	17024	1205	43
17024	17841	-2971	43
17972	17024	4225	108
17024	17972	1105	108
19125	17024	9150	213
17024	19125	5285	213
19130	17024	8933	209
17024	19130	8610	209
18619	17024	6546	158
17024	18619	2686	158
18235	17024	6053	147
