Depot: 15427
Number of vehicles30
Route	Cost
[15427, 15209, 16102, 16146, 16159, 15479, 15427]	172.87199999999999
[15427, 15732, 16249, 15742, 15764, 16061, 16301, 16316, 15427]	268.31
[15427, 16878, 15224, 15204, 15210, 15104, 15122, 15427]	235.725
[15427, 16627, 16641, 16630, 15946, 15952, 16057, 15427]	261.2819999999999
[15427, 16329, 16351, 16364, 16301, 15427]	232.46299999999997
[15427, 15661, 15905, 15628, 15631, 15428, 15427]	123.56399999999998
[15427, 16689, 17220, 15537, 15427]	223.60799999999998
[15427, 15458, 15436, 15462, 15628, 15428, 15427]	85.659
[15427, 15690, 15901, 15462, 15631, 15456, 15427]	143.43
[15427, 16685, 15537, 15545, 15427]	206.885
[15427, 15241, 15210, 15219, 15201, 15122, 15644, 15458, 15427]	93.723
[15427, 15060, 16063, 15204, 15104, 15120, 15427]	94.17800000000001
[15427, 15458, 15413, 15019, 15323, 15237, 15219, 15427]	127.526
[15427, 15076, 15045, 15042, 16123, 15427]	132.72699999999998
[15427, 15377, 15427]	40.656000000000006
Depot: 18463
Number of vehicles30
Route	Cost
[18463, 18425, 18337, 18463]	49.53199999999999
[18463, 16927, 16935, 18619, 18463]	222.67000000000002
[18463, 19010, 19078, 19086, 19335, 17509, 17007, 17024, 17112, 17061, 18463]	295.442
[18463, 17363, 17352, 17509, 17557, 17522, 19501, 18463]	238.29399999999998
[18463, 19115, 19012, 19125, 19130, 19143, 19428, 18463, 18421, 18437, 18403, 18504, 18505, 18463]	238.25199999999992
[18463, 18337, 18067, 18072, 18463]	99.834
[18463, 18235, 18072, 18344, 18463]	100.66
[18463, 18955, 19023, 19078, 19143, 19422, 18463]	162.246
[18463, 19130, 19053, 18938, 18463]	155.295
[18463, 17853, 17059, 17841, 18463]	199.15699999999998
[18463, 17972, 17985, 17941, 18463]	172.52199999999996
[18463, 18512, 18505, 18463]	24.878000000000004
[18463, 18344, 18087, 17832, 17772, 18463]	177.52
