Depot: 15427
Number of vehicles30
Route	Cost
[15427, 16038, 16314, 16331, 16319, 15427]	197.37199999999999
[15427, 15905, 15958, 16627, 16636, 15773, 16692, 16341, 15427]	268.02299999999997
[15427, 15849, 16881, 16839, 16879, 16680, 15427]	264.97099999999995
[15427, 16833, 16881, 16836, 15744, 15711, 16248, 16049, 15427]	272.76199999999994
[15427, 17066, 17252, 15533, 15522, 15427]	244.538
[15427, 15120, 15136, 15241, 15060, 15342, 15317, 15427]	70.30099999999999
[15427, 15026, 15052, 16120, 16121, 16105, 15427]	144.82999999999998
[15427, 15537, 16674, 17255, 17262, 15427]	222.61399999999998
[15427, 15022, 15241, 16033, 16115, 15427]	115.58399999999999
[15427, 15433, 15456, 15628, 15672, 15479, 15427]	86.163
[15427, 15313, 15427, 15427]	4.396
[15427, 15631, 15672, 15716, 15713, 15944, 15051, 15427]	149.667
[15427, 15953, 16695, 16659, 16679, 15112, 15427]	216.13899999999998
Depot: 18463
Number of vehicles30
Route	Cost
[18463, 17047, 17058, 17049, 17812, 17853, 17843, 18463]	224.196
[18463, 17957, 17036, 17502, 17563, 19372, 19518, 19503, 18463]	252.44799999999998
[18463, 18229, 17834, 17860, 17828, 17872, 18463]	150.67499999999998
[18463, 18074, 19335, 19032, 19153, 19103, 19041, 18463]	186.494
[18463, 18822, 18640, 18641, 18518, 18463]	95.73199999999999
[18463, 18322, 18353, 17364, 17538, 17512, 18463]	237.41199999999995
[18463, 18917, 18969, 19139, 19130, 19111, 19067, 18463]	172.06699999999998
[18463, 18972, 19111, 19120, 19124, 19148, 19153, 19405, 18463]	170.457
[18463, 18353, 18031, 19605, 19518, 18463]	142.457
[18463, 18942, 19111, 19120, 19139, 19008, 19041, 19035, 19422, 18463]	163.68099999999998
[18463, 18518, 18833, 18616, 18619, 18463]	126.70000000000002
