Node	X	Y
1	50000.0	510000.0	
2	320000.0	510000.0	
3	50000.0	440000.0	
4	130000.0	440000.0	
5	220000.0	440000.0	
6	320000.0	440000.0	
7	420000.0	380000.0	
8	320000.0	380000.0	
9	220000.0	380000.0	
10	220000.0	320000.0	
11	130000.0	320000.0	
12	50000.0	320000.0	
13	50000.0	50000.0	
14	130000.0	190000.0	
15	220000.0	190000.0	
16	320000.0	320000.0	
17	320000.0	260000.0	
18	420000.0	320000.0	
19	320000.0	190000.0	
20	320000.0	50000.0	
21	220000.0	50000.0	
22	220000.0	130000.0	
23	130000.0	130000.0	
24	130000.0	50000.0	
